name,affiliation,email,domain,citations_scholar,hindex_scholar,i10_scholar,profile_scholar,orcid,scopus_status,scopus_id,scopus_url,s2_author_id,s2_name,h_index,citation_count,paper_count,metrics_fetched,fix_status,s2_profile_url
Sopha Soeung,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,111.0,7.0,6.0,https://scholar.google.com/citations?hl=en&user=9PwEPscAAAAJ,0000-0003-0569-3021,found,57219198544.0,https://www.scopus.com/authid/detail.uri?authorId=57219198544,121296676,Sophat Soeung,4.0,52.0,13.0,2026-06-07,fixed,https://www.semanticscholar.org/author/121296676
Savrin THY,"Doctor of Education, National Institute of Education (NIE), Cambodia",Verified email at nie.edu.kh,nie.edu.kh,61.0,6.0,2.0,https://scholar.google.com/citations?hl=en&user=uSEWd2EAAAAJ,0000-0002-5826-5170,found,,,1573683944,Savrin Thy,4.0,25.0,6.0,,fixed,https://www.semanticscholar.org/author/1573683944
Vutheavy Chim,"National Institute of Education, Cambodia",Verified email at nie.edu.kh,nie.edu.kh,45.0,4.0,2.0,https://scholar.google.com/citations?hl=en&user=PEUvlEoAAAAJ,0009-0000-6400-4930,found,,,2207442434.0,Vutheavy Chim,3.0,10.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2207442434.0
Ngoeurn,MA,Verified email at nie.edu.kh,nie.edu.kh,43.0,2.0,2.0,https://scholar.google.com/citations?hl=en&user=3EhvL_8AAAAJ,0009-0006-7406-3145,found,,,2428025055.0,Borey Ngoeurn,0.0,0.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2428025055.0
Rany im,"Graduate School of Education, Aichi University of Education",Verified email at nie.edu.kh,nie.edu.kh,36.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=R83b3dIAAAAJ,0000-0002-0703-7151,found,,,2257074593.0,Rany Im,3.0,23.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2257074593.0
Chanponna Chea,"Doctor of Philosophy in Education, Hiroshima University, Japan",Verified email at nie.edu.kh - Homepage,nie.edu.kh,26.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=FuzFGI0AAAAJ,0000-0001-8284-1660,found,59397401600.0,https://www.scopus.com/authid/detail.uri?authorId=59397401600,2327795720,Chanponna Chea,1.0,7.0,1.0,,fixed,https://www.semanticscholar.org/author/2327795720
Sieng Veasna,"Deputy director of Graduate School, National Institute of Education (NIE), Cambodia.",Verified email at nie.edu.kh - Homepage,nie.edu.kh,18.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=T-tTZAoAAAAJ,0000-0003-0733-8701,found,,,2358340126,Veasna Sieng,1.0,4.0,1.0,,fixed,https://www.semanticscholar.org/author/2358340126
Somara Sun,"Training Coordinator, New Generation Pedagogical Research Center, National Institute of Education",Verified email at nie.edu.kh,nie.edu.kh,13.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=Wojz0MMAAAAJ,0000-0002-9466-614X,found,,,2184551395.0,S. Sun,1.0,4.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2184551395.0
Robraw Ann,"Vice-Dean, Institut National de l'Education",Verified email at nie.edu.kh,nie.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=fBM_BCoAAAAJ,0009-0007-7898-3560,found,,,2318885442.0,Robraw Ann,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2318885442.0
Sokchea Ly,National Institute of Education,Verified email at nie.edu.kh,nie.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=djlI_lUAAAAJ,0009-0004-9014-5541,found,,,,,,,,,skipped_low_hindex,
Keun Im,"Researcher, Academic Supervisor, and IELTS trainer for postgraduate scholars",Verified email at nie.edu.kh,nie.edu.kh,5.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=I9Of67EAAAAJ,0009-0007-0148-9601,found,,,2149872463.0,S. Im,1.0,2.0,3.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2149872463.0
Huy Hang,"Ph.D. Research Scholar, University of Calcutta",Verified email at nie.edu.kh,nie.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=GkYG2CMAAAAJ,0000-0001-7928-3418,found,,,48807571.0,Huy Hang,4.0,147.0,7.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/48807571.0
Leang So Khuong,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,1318.0,11.0,11.0,https://scholar.google.com/citations?hl=en&user=PNquJjkAAAAJ,0000-0002-3003-5058,found,,,65984129,L. S. Khuong,9.0,872.0,10.0,,fixed,https://www.semanticscholar.org/author/65984129
SAR SARY,Senior Lecturer of National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,439.0,13.0,18.0,https://scholar.google.com/citations?hl=en&user=KuX3qM4AAAAJ,0000-0003-2301-8089,found,57208127676.0,https://www.scopus.com/authid/detail.uri?authorId=57208127676,102331052,Sar Sary,3.0,28.0,9.0,2026-06-07,fixed,https://www.semanticscholar.org/author/102331052
Chivon Choeung,"Lecturer & Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,336.0,12.0,15.0,https://scholar.google.com/citations?hl=en&user=LxeaO3oAAAAJ,0000-0003-2874-6202,found,57192099788.0,https://www.scopus.com/authid/detail.uri?authorId=57192099788,74024729.0,Chivon Choeung,9.0,152.0,34.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/74024729.0
Heng Tang,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,176.0,9.0,9.0,https://scholar.google.com/citations?hl=en&user=Jcl8V6UAAAAJ,0000-0002-9676-8019,found,36671317600.0,https://www.scopus.com/authid/detail.uri?authorId=36671317600,3124237,Heng-Yuan Tang,35.0,3578.0,72.0,,fixed,https://www.semanticscholar.org/author/3124237
Panha Soth,"Lecturer, National Polytechnic Institue of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,175.0,9.0,9.0,https://scholar.google.com/citations?hl=en&user=Ldc7Nn8AAAAJ,0000-0002-6110-3463,found,58035948000.0,https://www.scopus.com/authid/detail.uri?authorId=58035948000,2209219609.0,Panha Soth,7.0,75.0,16.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2209219609.0
"Phanam Pech, Ph.D.","Contract Professor, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,141.0,8.0,5.0,https://scholar.google.com/citations?hl=en&user=FQ5sSXQAAAAJ,0000-0002-1443-5086,found,57205379262.0,https://www.scopus.com/authid/detail.uri?authorId=57205379262,nan,,,,,,no_better_found,
Oum Saokosal,"Chief of Faculty of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,128.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=xVCwYQ4AAAAJ,0000-0002-8975-7119,found,,,,,,,,,skipped_low_hindex,
sovann ang,"Lecturer of electrical engineering, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,117.0,6.0,6.0,https://scholar.google.com/citations?hl=en&user=q6P9J_MAAAAJ,0000-0003-1595-0511,found,57203867512.0,https://www.scopus.com/authid/detail.uri?authorId=57203867512,2322338134,S. Ang,3.0,23.0,4.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2322338134
Channareth Srun,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,116.0,7.0,2.0,https://scholar.google.com/citations?hl=en&user=s3wcBcsAAAAJ,0000-0001-8042-808X,found,,,52164040.0,Channareth Srun,5.0,75.0,21.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/52164040.0
SEVEN SIREN,"Electronic and Telecommunication, NPIC",Verified email at npic.edu.kh,npic.edu.kh,79.0,6.0,2.0,https://scholar.google.com/citations?hl=en&user=UKtVp5MAAAAJ,0000-0001-6337-8201,found,,,2209994272,Seven Siren,4.0,34.0,12.0,,fixed,https://www.semanticscholar.org/author/2209994272
Socheat YAY,"Faculty of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,68.0,4.0,3.0,https://scholar.google.com/citations?hl=en&user=fdJIykYAAAAJ,0009-0004-3479-5785,found,,,2209224943.0,Socheat Yay,4.0,31.0,10.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2209224943.0
UN Sokoeun,Institute of Technology of Cambodia (ITC),Verified email at npic.edu.kh - Homepage,npic.edu.kh,53.0,5.0,1.0,https://scholar.google.com/citations?hl=en&user=qfezglkAAAAJ,0000-0003-4920-8606,found,,,2281547297,S. Un,3.0,15.0,6.0,,fixed,https://www.semanticscholar.org/author/2281547297
Sokun Ieng,"Lecturer of Electrical Engineering, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,50.0,4.0,3.0,https://scholar.google.com/citations?hl=en&user=0PRsC7YAAAAJ,0000-0002-2983-715X,found,,,119811268,Sokun Ieng,2.0,15.0,3.0,2026-06-07,fixed,https://www.semanticscholar.org/author/119811268
Sokna San,"Instructor of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,47.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=fC5rUXUAAAAJ,0009-0007-2605-5164,found,58352598300.0,https://www.scopus.com/authid/detail.uri?authorId=58352598300,2218616315,Sokna San,2.0,18.0,10.0,,fixed,https://www.semanticscholar.org/author/2218616315
Bunne So,Lecturer,Verified email at npic.edu.kh,npic.edu.kh,45.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=wh0uVTwAAAAJ,0009-0009-7944-7705,found,,,2218611813,Bunne So,3.0,22.0,3.0,,fixed,https://www.semanticscholar.org/author/2218611813
Tan Hor,"Institut Teknologi Sepuluh Nopember, National Polytechnic Institute of Cambodia (NPIC)",Verified email at npic.edu.kh - Homepage,npic.edu.kh,43.0,2.0,2.0,https://scholar.google.com/citations?hl=en&user=Mh1hm-4AAAAJ,0000-0001-8325-0563,found,,,80940782,H. Tan,49.0,8946.0,120.0,,fixed,https://www.semanticscholar.org/author/80940782
Sokvan In,Lecturer,Verified email at npic.edu.kh,npic.edu.kh,42.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=RmwKr3gAAAAJ,0009-0002-3876-6485,found,,,2218590886.0,Sokvan In,3.0,24.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2218590886.0
Sros Nhek,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh,npic.edu.kh,35.0,4.0,1.0,https://scholar.google.com/citations?hl=en&user=RF_TZ7AAAAAJ,0000-0003-1581-9097,found,58127420200.0,https://www.scopus.com/authid/detail.uri?authorId=58127420200,2209992150.0,Sros Nhek,3.0,18.0,6.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2209992150.0
srey sophyn,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,25.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=NIi41yAAAAAJ,0009-0001-9822-172X,found,,,2180677439.0,Srey Sophyn,1.0,1.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2180677439.0
Khoem sambath,"Lecture of Computer Science, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,23.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=ifqzn6fhPtYC,0009-0000-1644-1407,found,,,2403782847.0,Khoem Sambath,0.0,0.0,1.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2403782847.0
Kakada Sovan,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,22.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=C1lqUi0AAAAJ,0000-0002-8627-5317,found,,,2209215488.0,Kakada Sovan,1.0,10.0,3.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2209215488.0
Soeng Saban,"Lecturer, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,13.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=Pbr41IUAAAAJ,0009-0007-8507-092X,found,,,2218600303.0,Saban Soeng,1.0,9.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2218600303.0
DARA SENG HUO,"Professor of Construction, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,10.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=rJXN6sMAAAAJ,0009-0000-7529-8030,found,,,nan,,,,,,no_better_found,
Sophea Nam,"Faculty of Electricity, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh,npic.edu.kh,7.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=pR4FxiEAAAAJ,0009-0001-2773-7358,found,,,2309100311.0,Sophea Nam,1.0,4.0,3.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2309100311.0
Born Chhaytep,"Lecturer of Electrical, National Polytechnic Institute of Cambodia.",Verified email at npic.edu.kh,npic.edu.kh,2.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=TiRmqUEAAAAJ,0009-0000-9478-0367,found,,,2398114938.0,C. Born,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2398114938.0
Hut Sovannarith,National Polytechnic Institute of Cambodia,Verified email at npic.edu.kh - Homepage,npic.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=vO2fqpQAAAAJ,0000-0001-5223-945X,found,,,2323807214.0,Sovannarith Hut,0.0,0.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2323807214.0
Mengseu Pheng,"Undergraduate Researcher, National Polytechnic Institute of Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=7h0zeukAAAAJ,0009-0004-0521-8153,found,,,,,,,,,skipped_low_hindex,
SOK Piseth,"Professor of Computer Science, NPIC Cambodia",Verified email at npic.edu.kh - Homepage,npic.edu.kh,1.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=MqELRB0AAAAJ,0009-0001-3568-0734,found,,,14542048.0,Piseth Sok,1.0,9.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/14542048.0
Lim Lorn,Unknown affiliation,Verified email at npic.edu.kh,npic.edu.kh,0.0,0.0,0.0,https://scholar.google.com/citations?hl=en&user=8NWypKcAAAAJ,0000-0002-6378-1233,found,,,,,,,,,skipped_low_hindex,
Pao SREAN,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,1203.0,17.0,24.0,https://scholar.google.com/citations?hl=en&user=6USZ3JMAAAAJ,0000-0003-2330-9660,found,56345918000.0,https://www.scopus.com/authid/detail.uri?authorId=56345918000,15360538.0,Pao Srean,13.0,669.0,48.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/15360538.0
"Rany Sam, PhD","Vice-Rector of National University of Battambang (NUBB), Cambodia",Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,1158.0,15.0,25.0,https://scholar.google.com/citations?hl=en&user=I70xug4AAAAJ,0000-0001-8639-7173,found,,,nan,,,,,,no_better_found,
Chan HUM,"Graduate School, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,150.0,8.0,5.0,https://scholar.google.com/citations?hl=en&user=z68fAU8AAAAJ,0000-0002-9732-361X,found,,,94157858,C. H. Park,39.0,4583.0,144.0,2026-06-07,fixed,https://www.semanticscholar.org/author/94157858
Morin Tieng,Vice Rector,Verified email at nubb.edu.kh,nubb.edu.kh,96.0,6.0,3.0,https://scholar.google.com/citations?hl=en&user=yK3_9BsAAAAJ,0009-0000-1564-3381,found,,,2229996787,Morin Tieng,3.0,22.0,7.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2229996787
Ry Hour,National University of Battambang (NUBB),Verified email at nubb.edu.kh,nubb.edu.kh,81.0,4.0,3.0,https://scholar.google.com/citations?hl=en&user=qmWFGBMAAAAJ,0009-0002-6488-4370,found,,,92085626,R. Hour,2.0,15.0,9.0,,fixed,https://www.semanticscholar.org/author/92085626
Ratha Rien,"Lecturer, Department of Agriculture, Faculty of Agriculture and Food Processing",Verified email at nubb.edu.kh,nubb.edu.kh,63.0,4.0,4.0,https://scholar.google.com/citations?hl=en&user=N68d5PEAAAAJ,0009-0001-6932-5861,found,,,90594098.0,R. Rien,3.0,34.0,5.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/90594098.0
Kheuy Sinoeurn,"PhD candidate, National University of Battambang,Cambodia, and Scholarship PhD,Unifg,Italy",Verified email at nubb.edu.kh,nubb.edu.kh,44.0,4.0,2.0,https://scholar.google.com/citations?hl=en&user=KQz8DaUAAAAJ,0009-0000-2828-7435,found,59959016700.0,https://www.scopus.com/authid/detail.uri?authorId=59959016700,2328522163,Sinoeurn Kheuy,3.0,21.0,7.0,,fixed,https://www.semanticscholar.org/author/2328522163
Sarith Chiv,Vice-rector,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,30.0,4.0,1.0,https://scholar.google.com/citations?hl=en&user=_DJvTV4AAAAJ,0009-0000-0239-5307,found,,,2326954977,Sarith Chiv,2.0,7.0,4.0,,fixed,https://www.semanticscholar.org/author/2326954977
Hoeurn Sokha,National University of  Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,30.0,3.0,2.0,https://scholar.google.com/citations?hl=en&user=cDBerjoAAAAJ,0009-0003-2210-1566,found,,,2323795901.0,Sokha Hoeurn,2.0,16.0,4.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2323795901.0
khin sophary,"Lecture, Faculty of Agriculture and Food processing, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,28.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=PpF2xOcAAAAJ,0009-0007-9729-7558,found,,,72230883.0,S. Khin,2.0,19.0,9.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/72230883.0
LY Sovann,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,27.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=srInttwAAAAJ,0000-0003-3733-9975,found,,,5300449,L. Sovann,20.0,1356.0,40.0,,fixed,https://www.semanticscholar.org/author/5300449
Chhor Chang,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,24.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=LKTtJp0AAAAJ,0009-0006-5891-5934,found,,,2325598369.0,Chang Chhor,2.0,8.0,2.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2325598369.0
Rasmeikhema Norng,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,24.0,3.0,1.0,https://scholar.google.com/citations?hl=en&user=xZmOR3oAAAAJ,0009-0003-0131-313X,found,,,2325601136.0,Rasmeikhema Norng,2.0,8.0,2.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2325601136.0
Soeurn Chenda,"Head of Department of Tourism, The faculty of Business Administration and Tourism, The National",Verified email at nubb.edu.kh,nubb.edu.kh,23.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=hcQiey4AAAAJ,0009-0005-7080-4703,found,,,2191485295,Soeurn Chenda,1.0,4.0,6.0,,fixed,https://www.semanticscholar.org/author/2191485295
Voithna Nhean,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,21.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=FowQPIcAAAAJ,0009-0008-7235-8876,found,,,2357330784.0,Nhean Voithna,0.0,0.0,1.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2357330784.0
Eng Titya,National University of Battambang,Verified email at nubb.edu.kh,nubb.edu.kh,20.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=H6C5APsAAAAJ,0009-0007-7208-3684,found,,,2005514714.0,Titya Eng,2.0,17.0,3.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2005514714.0
Thay Sovannpitou,"PhD student, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,20.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=svkasM4AAAAJ,0009-0009-5496-2794,found,,,2350367174,Sovannpitou Thay,2.0,5.0,2.0,2026-06-07,fixed,https://www.semanticscholar.org/author/2350367174
Phearom YEA,"Head of the personnel office, National University of Battambang",Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,15.0,2.0,1.0,https://scholar.google.com/citations?hl=en&user=urdSsmUAAAAJ,0009-0006-0959-4396,found,,,2334618883.0,Phearom Yea,1.0,7.0,2.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2334618883.0
Morm Sophany,"Vice-Dean of the Faculty of Agriculture and Food Processing, National University of Battambang",Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,14.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=Y4_SoNgAAAAJ,0009-0006-4693-1128,found,58149498600.0,https://www.scopus.com/authid/detail.uri?authorId=58149498600,2261203602,Sophany Morm,1.0,5.0,8.0,,fixed,https://www.semanticscholar.org/author/2261203602
Ron Seihak,Student,Verified email at nubb.edu.kh,nubb.edu.kh,14.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=nq5CudoAAAAJ,0009-0000-4853-2119,found,,,2323794859,Seihak Ron,1.0,1.0,1.0,,fixed,https://www.semanticscholar.org/author/2323794859
Sopharath KHEAV,Master degree student of National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,14.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=6wQQ3I0AAAAJ,0009-0006-1283-6843,found,,,,,,,,,skipped_low_hindex,
Hoeurng Heak,Graduate student of National University of Battambang,Verified email at nubb.edu.kh,nubb.edu.kh,14.0,1.0,1.0,https://scholar.google.com/citations?hl=en&user=Sh7l-VQAAAAJ,0009-0007-9745-2183,found,,,,,,,,,skipped_low_hindex,
Sreynget LO,"Lecturer, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,12.0,3.0,0.0,https://scholar.google.com/citations?hl=en&user=saZveYwAAAAJ,0009-0006-0154-9523,found,58246778400.0,https://www.scopus.com/authid/detail.uri?authorId=58246778400,2189743874.0,Sreynget Lo,2.0,5.0,3.0,2026-06-07,skipped_close_match,https://www.semanticscholar.org/author/2189743874.0
sothea rien,"Lecturer, National University of Battambang",Verified email at nubb.edu.kh,nubb.edu.kh,7.0,2.0,0.0,https://scholar.google.com/citations?hl=en&user=tBCyNeMAAAAJ,0000-0002-8810-6744,found,,,2321834551,Sothea Rien,1.0,2.0,3.0,,fixed,https://www.semanticscholar.org/author/2321834551
Sek Vimon,National University of Battambang,Verified email at nubb.edu.kh - Homepage,nubb.edu.kh,6.0,1.0,0.0,https://scholar.google.com/citations?hl=en&user=U8oDAM0AAAAJ,0009-0005-0002-7283,found,,,2325595060.0,Vimon Sek,2.0,8.0,2.0,2026-06-07,skipped_low_hindex,https://www.semanticscholar.org/author/2325595060.0
