Rank,University,Faculty,URI,H,C_norm,P_norm,URI_base,Size_factor,H_GS,H_S2,C_GS,C_S2,P_S2,Missing_S2_pct,Data_notes
1,Institute of Technology of Cambodia,85,183.6898,90.4185,1.0,1.0,41.2383,4.4543,101.8887,85.5027,267.7564,218.6301,132.4642,22.4,19/85 faculty (22.4%) have no Semantic Scholar metrics (all S2 fields zero).
2,Royal University of Phnom Penh,91,179.4325,86.9979,0.9672,0.9747,39.6818,4.5218,107.4234,78.2441,283.7049,200.8582,116.947,27.5,25/91 faculty (27.5%) have no Semantic Scholar metrics (all S2 fields zero).
3,University of Puthisastra,75,97.8279,49.4379,0.5622,0.8916,22.5892,4.3307,66.2546,42.2307,182.0495,109.4216,77.5152,36.0,27/75 faculty (36.0%) have no Semantic Scholar metrics (all S2 fields zero).
4,Royal University of Agriculture,41,76.1763,44.6208,0.4814,0.8469,20.3807,3.7377,54.0548,40.5776,137.5945,101.5365,62.0953,17.1,7/41 faculty (17.1%) have no Semantic Scholar metrics (all S2 fields zero).
5,National University of Battambang,35,49.9149,30.4827,0.299,0.7724,13.929,3.5835,39.7587,26.5073,95.0197,58.9525,42.8159,22.9,8/35 faculty (22.9%) have no Semantic Scholar metrics (all S2 fields zero).
6,National Polytechnic Institute of Cambodia,29,47.1275,30.2996,0.319,0.7778,13.8561,3.4012,36.6326,27.5855,92.9758,66.4866,43.9797,20.7,6/29 faculty (20.7%) have no Semantic Scholar metrics (all S2 fields zero).
7,Paragon International University,28,32.4402,21.0438,0.2116,0.6899,9.6339,3.3673,26.4079,18.7449,68.4907,41.1814,28.2668,35.7,10/28 faculty (35.7%) have no Semantic Scholar metrics (all S2 fields zero).
8,American University of Phnom Penh,20,24.1688,17.2988,0.1842,0.7113,7.9385,3.0445,22.4189,15.1044,54.0728,38.246,31.4848,25.0,5/20 faculty (25.0%) have no Semantic Scholar metrics (all S2 fields zero).
9,National Institute of Education,12,12.2539,10.3913,0.103,0.55,4.7774,2.5649,14.1881,8.7641,35.3254,19.2013,13.7545,16.7,2/12 faculty (16.7%) have no Semantic Scholar metrics (all S2 fields zero).
10,Cambodia Academy of Digital Technology,11,11.2399,9.8171,0.1076,0.5718,4.5233,2.4849,11.8855,8.9306,30.3181,22.8704,15.4195,18.2,2/11 faculty (18.2%) have no Semantic Scholar metrics (all S2 fields zero).
11,Cambodia University of Technology and Science,12,10.0456,8.4901,0.095,0.5323,3.9165,2.5649,10.1628,7.7732,24.9459,20.9813,12.5325,41.7,5/12 faculty (41.7%) have no Semantic Scholar metrics (all S2 fields zero).
12,Svay Rieng University,9,5.7076,5.3662,0.0515,0.4083,2.4788,2.3026,6.9622,4.6821,15.5563,10.4987,6.3767,55.6,5/9 faculty (55.6%) have no Semantic Scholar metrics (all S2 fields zero).
13,University of Cambodia,8,4.5221,4.449,0.0405,0.3785,2.0581,2.1972,6.2226,3.6889,14.3217,7.3486,5.3753,37.5,3/8 faculty (37.5%) have no Semantic Scholar metrics (all S2 fields zero).
14,National University of Management,6,3.6418,4.0185,0.0465,0.4231,1.8715,1.9459,4.7875,3.6889,12.7533,10.0292,6.9276,33.3,2/6 faculty (33.3%) have no Semantic Scholar metrics (all S2 fields zero).
15,University of Health Sciences,7,2.6277,2.6989,0.0273,0.3687,1.2637,2.0794,3.4012,2.3979,7.2528,5.9965,5.0752,42.9,3/7 faculty (42.9%) have no Semantic Scholar metrics (all S2 fields zero).
16,Phnom Penh International University,3,2.1777,3.386,0.0315,0.3299,1.5709,1.3863,3.8712,3.1781,9.7416,6.3279,4.0254,0.0,
17,International University,2,2.1071,4.1324,0.045,0.3819,1.918,1.0986,4.382,4.0254,11.1548,10.2051,5.4806,0.0,Small cohort (N=2): URI less stable with fewer than 3 faculty.
18,Build Bright University,3,1.6984,2.6131,0.0284,0.3651,1.2252,1.3863,3.5835,2.1972,8.8283,5.6699,4.9698,0.0,
19,ACLEDA Institute of Business,3,1.2091,1.8691,0.018,0.2298,0.8722,1.3863,2.9957,1.3863,6.4983,3.2189,2.0794,66.7,2/3 faculty (66.7%) have no Semantic Scholar metrics (all S2 fields zero).
20,Cambodian Mekong University,2,1.1462,2.2288,0.0247,0.2922,1.0433,1.0986,2.3026,2.1972,6.1225,5.624,3.1781,50.0,Small cohort (N=2): URI less stable with fewer than 3 faculty.; 1/2 faculty (50.0%) have no Semantic Scholar metrics (all S2 fields zero).
21,Western University,3,1.1167,1.7159,0.0176,0.2551,0.8056,1.3863,2.4849,1.3863,7.3356,2.7081,2.4849,33.3,1/3 faculty (33.3%) have no Semantic Scholar metrics (all S2 fields zero).
22,East Asia Management University,1,0.9971,3.091,0.0321,0.3313,1.4385,0.6931,3.091,3.091,8.2069,7.1793,4.0604,0.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.
23,University of Management and Economics,2,0.8853,1.7104,0.017,0.2855,0.8059,1.0986,1.9459,1.6094,4.9972,3.5264,3.0445,50.0,Small cohort (N=2): URI less stable with fewer than 3 faculty.; 1/2 faculty (50.0%) have no Semantic Scholar metrics (all S2 fields zero).
24,National Technical Training Institute,1,0.4518,1.3863,0.0227,0.1777,0.6518,0.6931,1.3863,1.3863,5.4553,5.2204,1.3863,0.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.
25,Pannasastra University of Cambodia,6,0.3895,0.4159,0.005,0.1076,0.2001,1.9459,1.3863,0.0,3.8712,0.0,0.6931,83.3,5/6 faculty (83.3%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
26,National Meanchey University,3,0.2323,0.3296,0.0033,0.1777,0.1676,1.3863,1.0986,0.0,2.5649,0.0,1.3863,66.7,2/3 faculty (66.7%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
27,Phnom Penh International Institute of the Arts,3,0.1327,0.2079,0.0048,0.0,0.0957,1.3863,0.6931,0.0,3.7377,0.0,0.0,100.0,3/3 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
28,Royal University of Law and Economics,2,0.1205,0.2079,0.0021,0.1515,0.1097,1.0986,0.6931,0.0,1.6094,0.0,1.0986,50.0,Small cohort (N=2): URI less stable with fewer than 3 faculty.; 1/2 faculty (50.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
29,Dewey International University,1,0.0661,0.2079,0.0039,0.0,0.0953,0.6931,0.6931,0.0,2.9957,0.0,0.0,100.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; 1/1 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
30,Royal Academy of Cambodia,1,0.0655,0.2079,0.0021,0.0,0.0945,0.6931,0.6931,0.0,1.6094,0.0,0.0,100.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; 1/1 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
31,University of Southeast Asia,2,0.0166,0.0,0.0,0.1515,0.0151,1.0986,0.0,0.0,0.0,0.0,1.0986,50.0,Small cohort (N=2): URI less stable with fewer than 3 faculty.; 1/2 faculty (50.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
32,Beltei International University,1,0.0075,0.0,0.0,0.1076,0.0108,0.6931,0.0,0.0,0.0,0.0,0.6931,0.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; All faculty have zero Google Scholar h-index.; All faculty have zero Semantic Scholar h-index.
33,Angkor University,1,0.0,0.0,0.0,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,0.0,100.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; 1/1 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
34,Asia Euro University,1,0.0,0.0,0.0,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,0.0,100.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; 1/1 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Semantic Scholar h-index.
35,Preah Sihamoniraja Buddhist University,1,0.0,0.0,0.0,0.0,0.0,0.6931,0.0,0.0,0.0,0.0,0.0,100.0,Small cohort (N=1): URI less stable with fewer than 3 faculty.; 1/1 faculty (100.0%) have no Semantic Scholar metrics (all S2 fields zero).; All faculty have zero Google Scholar h-index.; All faculty have zero Semantic Scholar h-index.
